Model,RMSE,MAE,R2_Score
Gradient Boosting,2.91329024017487,2.187063475108725,0.9612694198309555
Random Forest,3.5733547601894093,2.6741901285378535,0.941730839065879
SVR,3.698992135914073,2.596479097366973,0.9375613778534655
LightGBM,3.7558059407558444,2.918628087929967,0.9356286253059346
LASSO Regression,3.8569024636111116,2.746349090752202,0.932116565455
Elastic Net,4.007968029671869,2.902367364614495,0.9266947647104969
Ridge Regression,4.052906790289041,2.959561640292139,0.9250417003515014
Linear Regression,4.15410516613506,3.0585766073499623,0.9212516489205737
